payment_id,model_type,model_id,stored_amount,share,payment_amount,drift,payment_reference,status,state,created_at,payment_updated_at
918855,Invoice,988521,518.19,1,497.19,21.00,PL23203,success,completed,2025-03-27 14:03:00+00,2025-03-27 14:05:23+00
918855,Invoice,987446,518.19,1,497.19,21.00,PL23203,success,completed,2025-03-25 08:08:12+00,2025-03-27 14:05:23+00
922153,Invoice,990098,31.22,1,53.00,-21.78,pay_d5bjiylnn7yu7ehnqdijl7aj2q,success,completed,2025-04-03 06:31:58+00,2025-04-09 08:58:55+00
923855,Invoice,992312,670.77,1,677.01,-6.24,FP53881444744363,success,completed,2025-04-09 13:18:31+00,2025-04-10 07:08:36+00
924653,Invoice,833827,0.03,1,1.00,-0.97,1364496967,success,completed,2025-04-11 10:51:28+00,2025-08-28 00:08:21+00
932179,Invoice,999578,35.89,1,35.28,0.61,pay_rtptnukdnuxuzi3tmxfhzqvb5a,success,completed,2025-05-09 13:57:06+00,2025-05-22 14:16:10+00
936131,Invoice,1002261,398.44,1,385.01,13.43,AT17506,success,completed,2025-05-21 08:36:09+00,2025-05-21 08:36:13+00
937495,Invoice,1003291,4657.80,1,4656.13,1.67,NL06339,success,completed,2025-05-26 13:47:14+00,2025-05-28 12:47:06+00
938819,Invoice,1004669,340.66,1,328.52,12.14,GB534755,success,completed,2025-05-30 13:02:10+00,2025-05-30 13:07:05+00
939175,Invoice,1004715,21.42,1,21.45,-0.03,TAAAU3KVRNT,success,completed,2025-05-30 15:00:14+00,2025-06-06 12:51:07+00
939796,Invoice,1005662,575.70,1,559.22,16.48,AR14531,success,completed,2025-06-04 10:08:10+00,2025-06-04 10:31:06+00
945357,Invoice,1009785,-502.44,1,502.44,-1004.88,42217,success,cancelled,2025-06-19 13:18:12+00,2025-07-03 15:00:19+00
945706,Invoice,997293,50.69,1,50.96,-0.27,1591646870,success,completed,2025-06-20 11:26:27+00,2025-08-28 00:08:21+00
951351,Invoice,1015174,5.41,1,6.26,-0.85,pay_7sx7emuxsowuxotgwvkc75ar2y,success,completed,2025-07-11 13:07:51+00,2025-08-28 00:08:21+00
951354,Invoice,1014640,179.00,1,152.66,26.34,pay_y3bpfrsnzmaelay4m3boaqmipy,success,completed,2025-07-09 12:05:20+00,2025-07-11 11:27:15+00
951497,Invoice,1015768,71.42,1,100.04,-28.62,pay_5aflwebb6qzebcwfonzstxuuni,success,completed,2025-07-15 08:32:06+00,2025-08-28 00:08:21+00
952223,Invoice,1015669,15.55,1,20.12,-4.57,pay_u3ti24o5fl5urc2y3la57fkvyi,success,completed,2025-07-14 14:49:59+00,2025-08-28 00:08:21+00
952333,Invoice,1015541,26.26,1,31.42,-5.16,pay_klcxniju4iaendj4mnbrjdrlbe,success,completed,2025-07-14 12:42:52+00,2025-08-28 00:08:21+00
953089,Invoice,1016694,44.25,1,46.51,-2.26,pay_hmwhnjwhlzhufdindo3zslml6q,success,completed,2025-07-17 13:50:36+00,2025-08-28 00:08:21+00
953106,Invoice,1016713,5.62,1,7.21,-1.59,pay_tlk5kd2ule3ubjzayfcpqaun5q,success,completed,2025-07-17 14:21:12+00,2025-08-28 00:08:21+00
953171,Invoice,1016167,8.50,1,10.14,-1.64,pay_nme2ts2xdrou3gxikbm6pu5mea,success,completed,2025-07-16 09:26:53+00,2025-08-28 00:08:21+00
953503,Invoice,1016636,8.96,1,9.92,-0.96,pay_s3tp4kyj5nzexpe4npzpmp7uci,success,completed,2025-07-17 12:32:02+00,2025-08-28 00:08:22+00
954223,Invoice,1017167,8.96,1,10.16,-1.20,pay_zrd4f7n2rlnezbmtdqgax66iai,success,completed,2025-07-21 10:40:40+00,2025-08-28 00:08:22+00
954247,Invoice,1017276,26.52,1,26.88,-0.36,cu-535973-bal-RFEze3goar,success,completed,2025-07-21 12:12:11+00,2025-08-28 00:08:22+00
954290,Invoice,1017312,29.94,1,30.30,-0.36,cu-535973-bal-TAghuLztrr,success,completed,2025-07-21 13:00:44+00,2025-08-28 00:08:22+00
954328,Invoice,1017375,20.02,1,21.52,-1.50,pay_vb5ufae6korupkrkekibbro3ly,success,completed,2025-07-22 07:17:06+00,2025-08-28 00:08:22+00
954651,Invoice,1018195,99.28,1,120.16,-20.88,pay_fhua2uzrm3euti5lfbzesi72gm,success,completed,2025-07-24 10:23:41+00,2025-08-28 00:08:22+00
954884,Invoice,1017767,10.48,1,11.46,-0.98,pay_uvltboa6lvhurjopwjpiooy7eu,success,completed,2025-07-23 08:26:30+00,2025-08-28 00:08:22+00
955329,Invoice,1018687,15.78,1,17.30,-1.52,pay_s5u6ke2d57zujdpbh3kqrmxgui,success,completed,2025-07-25 13:28:50+00,2025-08-28 00:08:22+00
955799,Invoice,1018615,4.03,1,7.21,-3.18,pay_v7yewez5vwcu3ihmr6pxszutzi,success,completed,2025-07-25 11:57:31+00,2025-08-28 00:08:22+00
956142,Invoice,1019092,211.59,1,226.23,-14.64,pay_qqtemxjeaz3utgbutcop56pdb4,success,completed,2025-07-28 14:38:21+00,2025-08-28 00:08:22+00
956179,Invoice,1018853,11.15,1,12.11,-0.96,pay_ly6dxbjllkfeli3ufbsrvlo7ae,success,completed,2025-07-28 10:11:30+00,2025-08-28 00:08:22+00
956181,Invoice,1018851,3.59,1,13.91,-10.32,pay_n6nlb54plznubcxbprtfbs63ga,success,completed,2025-07-28 10:10:18+00,2025-08-28 00:08:22+00
956696,Invoice,1018851,-10.32,1,-3.59,-6.73,,success,completed,2025-07-28 10:51:53+00,2025-08-28 00:08:22+00
