payment_id,model_type,model_id,allocated_amount,share,payment_amount,payment_reference,status,state,invoice_reference,created_at
747166,Invoice,4386,43.00,1,43.00,604647,success,completed,,2025-03-02 08:13:19+00
747166,Invoice,958977,43.00,1,43.00,604647,success,completed,AWSi01002,2025-03-02 08:47:42+00
747166,Order,6945,43.00,1,43.00,604647,success,completed,,2025-01-01 14:31:19+00
895944,Invoice,942107,10.43,1,10.43,6pvfczeh,success,completed,AWDi2336148,2025-01-12 13:57:58+00
895944,Invoice,943298,10.43,1,10.43,6pvfczeh,success,completed,AWDi2336281,2025-01-14 21:52:44+00
895944,Order,1134244,10.43,1,10.43,6pvfczeh,success,completed,,2025-01-12 18:51:31+00
895962,Invoice,942132,26.11,1,26.11,dct888re,success,completed,AWDi2336152,2025-01-12 13:58:58+00
895962,Invoice,942454,26.11,1,26.11,dct888re,success,completed,AWDi2336156,2025-01-14 17:46:19+00
895962,Order,1135779,26.11,1,26.11,dct888re,success,completed,,2025-01-12 18:53:44+00
903458,Invoice,948964,266.16,1,266.16,pay_474gk4p7msnutbqy56sp5v6i3a,success,completed,FREUi251284,2025-02-05 10:52:26+00
903458,Invoice,949584,266.16,1,266.16,pay_474gk4p7msnutbqy56sp5v6i3a,success,completed,FREUi251293,2025-02-10 19:25:03+00
903458,Order,1141769,266.16,1,266.16,pay_474gk4p7msnutbqy56sp5v6i3a,success,completed,,2025-03-06 19:26:09+00
903459,Invoice,948964,-57.31,1,-57.31,act_dwk2mdkdfx5uhfr5mfnsayczvu,success,completed,FREUi251284,2025-02-05 10:52:26+00
903459,Invoice,949584,-57.31,1,-57.31,act_dwk2mdkdfx5uhfr5mfnsayczvu,success,completed,FREUi251293,2025-02-10 19:25:03+00
903459,Order,1141769,-57.31,1,-57.31,act_dwk2mdkdfx5uhfr5mfnsayczvu,success,completed,,2025-03-06 19:26:09+00
904151,Invoice,949610,1584.50,1,1584.50,OO9T004205750117,success,completed,NLi251115,2025-02-10 19:25:51+00
904151,Invoice,951135,1584.50,1,1584.50,OO9T004205750117,success,completed,NLi251142,2025-02-13 09:53:49+00
904151,Order,1143471,1584.50,1,1584.50,OO9T004205750117,success,completed,,2025-02-13 09:52:06+00
904152,Invoice,949610,200.00,1,200.00,OO9T004212309835,success,completed,NLi251115,2025-02-10 19:25:51+00
904152,Invoice,951135,200.00,1,200.00,OO9T004212309835,success,completed,NLi251142,2025-02-13 09:53:49+00
904152,Order,1143471,200.00,1,200.00,OO9T004212309835,success,completed,,2025-02-13 09:52:06+00
905861,Invoice,951252,172.66,1,172.66,3W67263646942305L,success,completed,ATi251263,2025-02-13 12:44:43+00
905861,Invoice,952565,172.66,1,172.66,3W67263646942305L,success,completed,ATi251298,2025-02-19 10:56:24+00
905861,Invoice,952578,172.66,1,172.66,3W67263646942305L,success,completed,ATi251299,2025-02-19 11:16:10+00
905861,Order,1144753,172.66,1,172.66,3W67263646942305L,success,completed,,2025-02-13 08:25:31+00
906089,Invoice,951505,111.46,1,111.46,pay_eyh2ginkx7bulostj7dewe5iee,success,completed,GBi2352530,2025-02-14 12:23:05+00
906089,Invoice,951508,111.46,1,111.46,pay_eyh2ginkx7bulostj7dewe5iee,success,completed,GBi2352531,2025-02-14 12:28:12+00
906089,Order,1132621,111.46,1,111.46,pay_eyh2ginkx7bulostj7dewe5iee,success,completed,,2025-02-13 17:22:46+00
906560,Invoice,951855,79.63,1,79.63,pay_d7k5rklkbxiuvbc5eiuinbd6nm,success,completed,DEUi251416,2025-02-17 13:41:04+00
906560,Invoice,984911,79.63,1,79.63,pay_d7k5rklkbxiuvbc5eiuinbd6nm,success,completed,DEUi251596,2025-03-14 08:45:56+00
906560,Order,404034,79.63,1,79.63,pay_d7k5rklkbxiuvbc5eiuinbd6nm,success,completed,,2025-02-15 14:55:47+00
907421,Invoice,952635,123.32,1,123.32,pay_3z74kr3gyhye3g7qr7osl4nddi,success,completed,ARi229395,2025-02-19 12:38:35+00
907421,Invoice,957709,123.32,1,123.32,pay_3z74kr3gyhye3g7qr7osl4nddi,success,completed,ARi229469,2025-02-25 15:42:16+00
907421,Order,1137693,123.32,1,123.32,pay_3z74kr3gyhye3g7qr7osl4nddi,success,completed,,2025-02-18 12:50:14+00
907790,Invoice,953087,18.23,1,18.23,d2jbhebv,success,completed,AWDi2338078,2025-02-21 10:31:46+00
907790,Invoice,987219,18.23,1,18.23,d2jbhebv,success,completed,AWDi2339713,2025-03-24 11:42:55+00
907790,Order,1146878,18.23,1,18.23,d2jbhebv,success,completed,,2025-02-19 13:43:32+00
908265,Invoice,953096,-65.33,1,-65.33,act_eaqjr4i5a3zuhngnf3i4r6utj4,success,completed,GB2304659R,2025-02-21 10:47:22+00
908265,Invoice,953097,-65.33,1,-65.33,act_eaqjr4i5a3zuhngnf3i4r6utj4,success,completed,,2025-02-21 10:47:22+00
908763,Invoice,953434,5.68,1,5.68,pay_ffurboelsbaexev3jzica7vi2e,success,completed,AWDi2338172,2025-02-24 10:34:40+00
908763,Invoice,953499,5.68,1,5.68,pay_ffurboelsbaexev3jzica7vi2e,success,completed,AWDi2338199,2025-02-24 11:58:32+00
908763,Order,1148183,5.68,1,5.68,pay_ffurboelsbaexev3jzica7vi2e,success,completed,,2025-02-23 22:50:44+00
908934,Invoice,957410,34.38,1,34.38,pay_sw24ckpkyihuhppovumcblc25i,success,completed,DEUi251465,2025-02-25 07:58:55+00
908934,Invoice,984914,34.38,1,34.38,pay_sw24ckpkyihuhppovumcblc25i,success,completed,DEUi251597,2025-03-14 08:49:58+00
908934,Order,1148327,34.38,1,34.38,pay_sw24ckpkyihuhppovumcblc25i,success,completed,,2025-02-24 11:19:55+00
909334,Invoice,958031,254.24,1,254.24,0CU05573MG895723M,success,completed,ITi251405,2025-02-26 12:43:47+00
909334,Invoice,958057,254.24,1,254.24,0CU05573MG895723M,success,completed,ITi251407,2025-02-26 13:09:39+00
909334,Order,1148763,254.24,1,254.24,0CU05573MG895723M,success,completed,,2025-02-25 10:54:18+00
909580,Invoice,957751,63.27,1,63.27,#5ZKA8KB5BT,success,cancelled,EUi251787,2025-02-26 07:23:33+00
909580,Invoice,957754,63.27,1,63.27,#5ZKA8KB5BT,success,cancelled,EUi251788,2025-02-26 07:24:57+00
909580,Order,1148464,63.27,1,63.27,#5ZKA8KB5BT,success,cancelled,,2025-02-26 07:23:37+00
909704,Invoice,958309,21.72,1,21.72,pay_gfl5zcemk4ouxe7fmlyat6jilm,success,completed,AWDi2338370,2025-02-27 09:52:12+00
909704,Invoice,958320,21.72,1,21.72,pay_gfl5zcemk4ouxe7fmlyat6jilm,success,completed,AWDi2338373,2025-02-27 09:58:48+00
909704,Order,1149185,21.72,1,21.72,pay_gfl5zcemk4ouxe7fmlyat6jilm,success,completed,,2025-02-26 11:38:54+00
909738,Invoice,958031,-1.72,1,-1.72,35990,success,cancelled,ITi251405,2025-02-26 12:43:47+00
909738,Invoice,958057,-1.72,1,-1.72,35990,success,cancelled,ITi251407,2025-02-26 13:09:39+00
909738,Order,1148763,-1.72,1,-1.72,35990,success,cancelled,,2025-02-26 12:41:04+00
909766,Invoice,958305,9.56,1,9.56,pay_e57kgpeohbuu5gkuc3dfxc5n3q,success,completed,AWDi2338367,2025-02-27 09:50:37+00
909766,Invoice,958367,9.56,1,9.56,pay_e57kgpeohbuu5gkuc3dfxc5n3q,success,completed,AWDi2338380,2025-02-27 10:38:55+00
909766,Order,1149018,9.56,1,9.56,pay_e57kgpeohbuu5gkuc3dfxc5n3q,success,completed,,2025-02-26 13:11:57+00
910354,Invoice,958728,2300.07,1,2300.07,#1434640382,success,completed,PLi251762,2025-02-28 13:18:47+00
910354,Invoice,981652,2300.07,1,2300.07,#1434640382,success,completed,PLi251765,2025-03-03 07:55:37+00
910354,Order,1146537,2300.07,1,2300.07,#1434640382,success,completed,,2025-02-28 10:29:49+00
910404,Invoice,981990,27.49,1,27.49,e6bmv65r,success,completed,AWDi2338567,2025-03-03 12:42:27+00
910404,Invoice,981998,27.49,1,27.49,e6bmv65r,success,completed,AWDi2338569,2025-03-03 12:56:10+00
910404,Order,1149902,27.49,1,27.49,e6bmv65r,success,completed,,2025-02-28 12:09:51+00
910424,Invoice,958728,-20.69,1,-20.69,36030,success,completed,PLi251762,2025-02-28 13:18:47+00
910424,Invoice,981652,-20.69,1,-20.69,36030,success,completed,PLi251765,2025-03-03 07:55:37+00
910424,Order,1146537,-20.69,1,-20.69,36030,success,completed,,2025-02-28 13:18:35+00
911302,Invoice,982834,39.18,1,39.18,pay_fibcuhnarm4eterkevaqhpfjxm,success,completed,AWDi2338714,2025-03-06 10:43:15+00
911302,Invoice,982926,39.18,1,39.18,pay_fibcuhnarm4eterkevaqhpfjxm,success,completed,AWDi2338759,2025-03-06 13:14:27+00
911302,Order,1150831,39.18,1,39.18,pay_fibcuhnarm4eterkevaqhpfjxm,success,completed,,2025-03-03 16:36:10+00
913303,Invoice,982834,-3.41,1,-3.41,act_qsd6fkkpbeledoejix4osa6ylu,success,completed,AWDi2338714,2025-03-06 10:43:15+00
913303,Invoice,982926,-3.41,1,-3.41,act_qsd6fkkpbeledoejix4osa6ylu,success,completed,AWDi2338759,2025-03-06 13:14:27+00
913303,Order,1150831,-3.41,1,-3.41,act_qsd6fkkpbeledoejix4osa6ylu,success,completed,,2025-03-06 10:42:15+00
915158,Invoice,984792,10.01,1,10.01,pay_s5xhxdmalbyetnwxkclysjb7yq,success,completed,AWDi2339175,2025-03-13 13:30:57+00
915158,Invoice,984794,10.01,1,10.01,pay_s5xhxdmalbyetnwxkclysjb7yq,success,completed,AWDi2339176,2025-03-13 13:33:48+00
915158,Order,1155810,10.01,1,10.01,pay_s5xhxdmalbyetnwxkclysjb7yq,success,completed,,2025-03-13 09:38:28+00
916363,Invoice,985665,462.62,1,462.62,pay_qkn6snj4oynejfxx3kitbn2zdu,success,completed,GBi2354224,2025-03-18 09:08:19+00
916363,Invoice,985682,462.62,1,462.62,pay_qkn6snj4oynejfxx3kitbn2zdu,success,completed,GBi2354230,2025-03-18 09:17:44+00
916363,Order,1150966,462.62,1,462.62,pay_qkn6snj4oynejfxx3kitbn2zdu,success,completed,,2025-03-16 15:44:26+00
916385,Invoice,985227,12.88,1,12.88,hnzgpgn0,success,completed,AWDi2339251,2025-03-17 09:53:43+00
916385,Invoice,985229,12.88,1,12.88,hnzgpgn0,success,completed,AWDi2339252,2025-03-17 09:56:03+00
916385,Order,1156761,12.88,1,12.88,hnzgpgn0,success,completed,,2025-03-16 17:38:33+00
916460,Invoice,985376,20.11,1,20.11,pay_fe2pny43t5hu7jz2xopgfvsr4i,success,completed,AWDi2339343,2025-03-17 11:24:01+00
916460,Invoice,985377,20.11,1,20.11,pay_fe2pny43t5hu7jz2xopgfvsr4i,success,completed,AWDi2339344,2025-03-17 11:24:47+00
916460,Order,1156846,20.11,1,20.11,pay_fe2pny43t5hu7jz2xopgfvsr4i,success,completed,,2025-03-17 00:18:45+00
916508,Invoice,985375,16.25,1,16.25,pay_mfm7batucfiuvayaeuxcw6kema,success,completed,AWDi2339342,2025-03-17 11:23:13+00
916508,Invoice,985576,16.25,1,16.25,pay_mfm7batucfiuvayaeuxcw6kema,success,completed,AWDi2339362,2025-03-17 15:02:11+00
916508,Order,1156881,16.25,1,16.25,pay_mfm7batucfiuvayaeuxcw6kema,success,completed,,2025-03-17 07:36:29+00
916512,Invoice,985373,16.25,1,16.25,pay_4p5ghlrjiqoenh47glmioyuqjm,success,completed,AWDi2339341,2025-03-17 11:22:49+00
916512,Invoice,985574,16.25,1,16.25,pay_4p5ghlrjiqoenh47glmioyuqjm,success,completed,AWDi2339361,2025-03-17 15:01:11+00
916512,Order,1156883,16.25,1,16.25,pay_4p5ghlrjiqoenh47glmioyuqjm,success,completed,,2025-03-17 07:39:55+00
917659,Invoice,991775,180.15,1,180.15,pay_jwfvyocli75efmuy74ruvw2isa,success,completed,ARi229976,2025-04-08 09:36:32+00
917659,Invoice,991990,180.15,1,180.15,pay_jwfvyocli75efmuy74ruvw2isa,success,completed,ARi229990,2025-04-08 13:49:08+00
917659,Invoice,992037,180.15,1,180.15,pay_jwfvyocli75efmuy74ruvw2isa,success,completed,ARi229993,2025-04-09 07:46:52+00
917659,Order,65481,180.15,1,180.15,pay_jwfvyocli75efmuy74ruvw2isa,success,completed,,2025-03-20 04:01:17+00
917970,Invoice,986635,8.10,1,8.10,ehaa846d,success,completed,AWDi2339594,2025-03-20 13:49:04+00
917970,Invoice,986639,8.10,1,8.10,ehaa846d,success,completed,AWDi2339595,2025-03-20 13:56:30+00
917970,Order,1158127,8.10,1,8.10,ehaa846d,success,completed,,2025-03-20 12:17:27+00
918273,Invoice,987012,65.39,1,65.39,pay_gbexsla23jbedosllb55tt7vim,success,completed,AWDi2339660,2025-03-21 16:07:53+00
918273,Invoice,987865,65.39,1,65.39,pay_gbexsla23jbedosllb55tt7vim,success,completed,AWDi2339925,2025-03-25 14:50:01+00
918273,Order,1158478,65.39,1,65.39,pay_gbexsla23jbedosllb55tt7vim,success,completed,,2025-03-21 12:24:49+00
918855,Invoice,987446,518.19,1,497.19,PL23203,success,completed,PLi251961,2025-03-25 08:08:12+00
918855,Invoice,988521,518.19,1,497.19,PL23203,success,completed,PLi252002,2025-03-27 14:03:00+00
918855,Order,1153120,497.19,1,497.19,PL23203,success,completed,,2025-03-24 07:52:57+00
919945,Invoice,988535,39.42,1,39.42,pay_y2pdgefj3jkuljlxnnx2v6sada,success,completed,AWDi2340080,2025-03-27 14:26:50+00
919945,Invoice,989472,39.42,1,39.42,pay_y2pdgefj3jkuljlxnnx2v6sada,success,completed,AWDi2340254,2025-04-01 08:08:26+00
919945,Order,1160239,39.42,1,39.42,pay_y2pdgefj3jkuljlxnnx2v6sada,success,completed,,2025-03-26 19:57:55+00
919948,Invoice,988273,0.34,1,0.34,36408,success,completed,CZi251512,2025-03-27 07:58:31+00
919948,Invoice,988275,0.34,1,0.34,36408,success,completed,CZi251514,2025-03-27 08:05:59+00
919948,Order,1160240,0.34,1,0.34,36408,success,completed,,2025-03-26 20:01:47+00
919954,Invoice,988530,16.31,1,16.31,fk82wmwr,success,completed,AWDi2340077,2025-03-27 14:24:04+00
919954,Invoice,988576,16.31,1,16.31,fk82wmwr,success,completed,AWDi2340094,2025-03-27 16:18:25+00
919954,Order,1160251,16.31,1,16.31,fk82wmwr,success,completed,,2025-03-26 20:46:12+00
919973,Invoice,988638,26.16,1,26.16,pay_odtcxrqjlwkuvjtt6kpf2bzmfe,success,completed,AWDi2340112,2025-03-28 09:38:36+00
919973,Invoice,988709,26.16,1,26.16,pay_odtcxrqjlwkuvjtt6kpf2bzmfe,success,completed,AWDi2340124,2025-03-28 11:15:51+00
919973,Order,1160284,26.16,1,26.16,pay_odtcxrqjlwkuvjtt6kpf2bzmfe,success,completed,,2025-03-26 23:34:50+00
920079,Invoice,988478,130.31,1,130.31,bj2xd252,success,completed,AWDi2340071,2025-03-27 12:59:23+00
920079,Invoice,988481,130.31,1,130.31,bj2xd252,success,completed,AWDi2340072,2025-03-27 13:03:22+00
920079,Order,1160385,130.31,1,130.31,bj2xd252,success,completed,,2025-03-27 10:28:13+00
920799,Invoice,989335,154.97,1,154.97,cma38dmv,success,completed,GBi2354953,2025-03-31 14:14:58+00
920799,Invoice,989467,154.97,1,154.97,cma38dmv,success,completed,GBi2354981,2025-04-01 07:59:24+00
920799,Order,1160608,154.97,1,154.97,cma38dmv,success,completed,,2025-03-29 22:18:45+00
920870,Invoice,989454,20.05,1,20.05,9dvsf1vv,success,completed,AWDi2340251,2025-04-01 07:26:31+00
920870,Invoice,989458,20.05,1,20.05,9dvsf1vv,success,completed,AWDi2340252,2025-04-01 07:38:03+00
920870,Order,1161193,20.05,1,20.05,9dvsf1vv,success,completed,,2025-03-30 16:09:53+00
921335,Invoice,989335,-22.35,1,-22.35,n23t626g,success,completed,GBi2354953,2025-03-31 14:14:58+00
921335,Invoice,989467,-22.35,1,-22.35,n23t626g,success,completed,GBi2354981,2025-04-01 07:59:24+00
921335,Order,1160608,-22.35,1,-22.35,n23t626g,success,completed,,2025-03-31 14:14:52+00
921590,Invoice,990329,13590.15,1,13590.15,CPUDHQ1BDS56L2LRBGIPZOK4XV3P,success,completed,NLi251296,2025-04-03 11:38:54+00
921590,Invoice,990333,13590.15,1,13590.15,CPUDHQ1BDS56L2LRBGIPZOK4XV3P,success,completed,NLi251297,2025-04-03 12:01:52+00
921590,Order,1155489,13590.15,1,13590.15,CPUDHQ1BDS56L2LRBGIPZOK4XV3P,success,completed,,2025-04-01 10:31:38+00
922004,Invoice,990002,2820.10,1,2820.10,pay_n3dx7wmfxkbethnycnfi6wfjhq,success,completed,GBi2355089,2025-04-02 12:34:14+00
922004,Invoice,990046,2820.10,1,2820.10,pay_n3dx7wmfxkbethnycnfi6wfjhq,success,completed,GBi2355101,2025-04-02 13:37:49+00
